反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
690,4.406958321049145,1.0942409284633026,865783.5,29266806893.656742,-3404787458.836522,-29068082291.591637
691,4.414485394834874,1.094381849210247,866397.0,29256235204.33806,-3382524308.962368,-29060038328.103218
692,4.422013017917197,1.094521896120051,866478.0,29047107478.600025,-3385060487.905571,-28849190948.214855
693,4.42954558720482,1.0946619338278465,867211.5,29057311671.4606,-3401285949.6854086,-28857557337.045578
694,4.437148752775097,1.0948019700367793,866943.0,29040196046.860664,-3442435525.75146,-28835440417.84599
695,4.444715044657077,1.0949420448113658,867638.5,29056581096.11547,-3421695355.970648,-28854408777.274643
696,4.45228450994048,1.095082091898156,867747.5,29031944511.684036,-3416759957.9281034,-28830184763.878986
697,4.459862223096441,1.0952222734023929,866229.0,29031762783.32194,-3412902752.1988,-28830458635.115585
698,4.467398825248912,1.0953622844760154,865300.5,28995422414.054157,-3374434932.2005224,-28798397696.01391
699,4.474950672663786,1.0955021688456492,865309.5,28968757905.353138,-3413298405.6502934,-28766965925.7445
700,4.482577429033734,1.0956422597611017,864547.0,28999727641.097454,-3462210458.6222944,-28792313244.997147
701,4.490273591201409,1.095782397455476,864062.0,28979196475.511906,-3499487982.7734394,-28767123808.694294
702,4.497975025556195,1.0959222951810024,864296.0,28945862520.291485,-3501690902.196743,-28733275446.232857
703,4.505744121779228,1.0960624178022667,864338.5,28981236575.189213,-3531333325.200281,-28765287385.55231
704,4.513492719982781,1.096202814435579,865205.5,29030460560.139675,-3505716287.6658344,-28818008148.451546
705,4.5212570616873675,1.0963431498231542,866250.0,29008852508.514847,-3507712513.665471,-28795997582.68921
706,4.529106740792165,1.096482869274195,867410.5,28865161733.18775,-3584736042.384815,-28641704372.985798
707,4.53687993077989,1.096622700999977,867432.5,28902935076.91876,-3516134180.230667,-28688263392.669735
708,4.544750282971346,1.0967627030867404,866994.0,28893242591.775394,-3569127023.92412,-28671951446.5667
709,4.5525823677471156,1.096902787940097,867311.0,28913852686.694706,-3532158914.9665537,-28697294830.476704
710,4.5603955210982186,1.0970430198084329,868107.0,28958472878.26802,-3516970602.388054,-28744113644.76774
711,4.568160905347225,1.0971830710403734,867686.5,28920977554.635036,-3463625266.1017027,-28712823663.508358
712,4.57591682292184,1.0973231583499041,866439.0,28945175792.002785,-3472631464.466011,-28736110250.727127
713,4.5836782645804846,1.0974630880930685,866107.5,28917209881.66343,-3486658081.158003,-28706240484.697205
714,4.591453759390245,1.0976028246950484,866010.0,28861701774.57665,-3492980171.417077,-28649553554.055393
715,4.599230230384446,1.0977427415764458,868158.5,28909766784.04368,-3475153875.9168053,-28700137996.993942
716,4.606997009733709,1.0978826578558099,869086.0,28932741212.519165,-3483495671.904296,-28722269617.39669
717,4.614747362598968,1.0980226210006763,868992.5,28936446802.54545,-3446876054.2846394,-28730419402.14138
718,4.622469634658022,1.0981626226728842,868441.0,28947546608.08127,-3430554040.129776,-28743551513.422737
719,4.630263934726095,1.0983025130815458,867958.0,28930660789.613148,-3481175137.974948,-28720455312.93689
720,4.638166836534126,1.0984426139260308,867638.5,28937881847.90297,-3550402663.177657,-28719255679.29108
721,4.6460237932869335,1.0985825170650048,868221.5,28923418097.60341,-3525615052.8980446,-28707736813.40191
722,4.653955672776449,1.0987226212586096,868748.5,28961708978.47425,-3564364046.29494,-28741536074.109123
723,4.661883767482512,1.098862473629007,868664.0,28909717868.38021,-3552882023.0815287,-28690570167.903706
724,4.669863482007238,1.099001678930262,868832.5,28775563303.56648,-3583250611.5734005,-28551591172.68634
725,4.677853816143985,1.0991407735108893,868704.0,28756536589.801437,-3595877935.896558,-28530826460.35199
726,4.6857939452999045,1.0992797988103178,868513.0,28775918517.57226,-3568768986.9752684,-28553762877.203445
727,4.693734741579429,1.099418782645129,867906.0,28780240003.75451,-3592502965.947014,-28555142043.305847
728,4.701746722273892,1.0995580501592743,867576.0,28825970801.40841,-3612757145.409827,-28598681411.07104
729,4.709711403204955,1.0996973204541776,867802.0,28834339957.956417,-3567186401.2295113,-28612835266.535286
730,4.717666446325225,1.0998365675723967,868138.5,28846019894.14202,-3547489993.930335,-28627053262.18892
731,4.72561869637637,1.0999760036696855,868479.0,28862429123.03309,-3536464257.663704,-28644951307.977043
732,4.733561640346146,1.1001152461640515,867358.5,28834614328.473907,-3540577258.149972,-28616416549.786663
733,4.741570347638245,1.100254107789308,866851.5,28731719258.73233,-3605533384.1553698,-28504592973.385033
734,4.749508593670323,1.1003930977281475,867084.0,28743175812.99251,-3552112532.302593,-28522844394.878582
