反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
229,23.77123180287808,1.4362932225217473,557390.5,2096451622.8540277,-131198247.55973011,-2092342330.2138066
230,23.942811580004708,1.4398873073064165,552893.5,2094781243.360427,-111497731.18137518,-2091811825.541691
231,24.117178716251455,1.443550221812842,542746.0,2126511980.4857585,-112980548.69927604,-2123508558.6747875
232,24.29481758862738,1.4472822685280744,535563.0,2142084764.8326437,-126690629.17259553,-2138335012.155012
233,24.473889399978283,1.4510354443859013,528449.5,2137882396.5909197,-145793001.54249907,-2132905422.740203
234,24.656402795198623,1.454852966923133,519892.5,2148037926.7085524,-163600309.42052904,-2141798747.1599388
235,24.847096793143393,1.4588264357626548,513576.0,2199312274.3824763,-198423167.03564987,-2190343061.493556
236,25.050154853658086,1.4629784133740185,506488.5,2244385511.1562157,-260683815.454677,-2229194982.734337
237,25.258720863185413,1.4672613656244318,494106.0,2300234245.681063,-273351366.5165037,-2283934459.5297585
238,25.467550501077344,1.4716177745806622,486333.5,2347356240.605212,-259841561.7316631,-2332930278.2348824
239,25.68298762617578,1.4760406211375907,474119.0,2308143126.58992,-309094203.08255756,-2287353375.9445763
240,25.90225499328117,1.480519015780681,460232.0,2285841155.4929085,-337766767.13196063,-2260748415.716879
241,26.126477651909823,1.4850720222430753,446658.0,2286533297.834784,-374532730.411115,-2255650628.0800686
242,26.36740591411828,1.4898790918560332,433370.0,2325583125.0090384,-437869918.57165277,-2283989230.6525574
243,26.611880311499267,1.49472230551079,421671.0,2286060264.4827833,-491882033.87314606,-2232515083.398074
244,26.857636044018015,1.4995905084121743,404224.0,2256289273.867712,-543365222.4034044,-2189884819.448956
245,27.110350860161674,1.5045248445755874,391166.5,2228649754.375942,-648644206.4454588,-2132168009.5913382
246,27.36406924037043,1.509425710047345,376052.0,2150601316.328241,-670166770.7628882,-2043517193.7514997
247,27.61975260369274,1.514250663164564,359806.0,2049032195.42341,-780551812.6865362,-1894537359.2498622
248,27.874999656914557,1.518914633496572,343290.5,1915074052.2698498,-901921004.858135,-1689392531.8507109
249,28.12044742277213,1.5232748408301682,326558.5,1769428921.0684767,-988800309.1855983,-1467362482.574779
250,28.364419257704615,1.5273937718343782,313524.0,1672130808.089297,-1155000422.1769218,-1209130044.3428316
251,28.596916138325337,1.531202683011949,300154.0,1562175167.8211567,-1200133390.3399637,-1000035549.542197
252,28.813683238692107,1.5346859956789407,287640.5,1443169754.9631042,-1183148509.3257875,-826376758.2165132
253,29.003160649681668,1.5376290892327473,279946.0,1283668129.3723936,-1133574576.4824786,-602339228.2750558
254,29.163766097261366,1.5399289579969748,276636.0,1144727793.6838043,-1102222829.4651325,-309041349.7221173
255,29.297520488028514,1.5416320833992099,273976.5,1076477089.0113635,-1075501381.856821,-45822492.18939786
256,29.40650305589011,1.5429028536335587,275349.0,969861544.0620493,-966484811.9590242,80861133.45082459
257,29.49525745479195,1.5437913671810162,276654.5,911525287.266965,-887864675.7261329,206336295.70400864
258,29.56694309617613,1.5443950800701063,276887.0,845307327.3563417,-798911596.0844109,276196921.2793302
259,29.622252557188087,1.5446789007855328,277561.0,838600881.6977783,-745133303.5824437,384743809.1465608
260,29.670930344101233,1.5448334670965747,278290.5,837617571.6936303,-719355230.0771322,429105172.85463953
261,29.712223930769394,1.5448375455332657,278573.5,847963897.6675532,-696428268.2803077,483766926.202733
262,29.748726114859245,1.5447513157811514,277848.0,852874948.0943973,-680441452.6832461,514193646.9437703
263,29.779384815901622,1.5445393115435635,277138.0,873038894.739909,-667615289.410748,562571539.5162513
264,29.803085555783078,1.544229894034241,275905.0,839061746.7479421,-614687561.3673007,571125044.7634289
265,29.824849607078256,1.5439078932040446,273860.5,813862335.6664906,-590767968.480646,559790236.4580556
266,29.843601095515382,1.543527800020213,272338.0,819523326.517397,-579943225.2327479,579037423.8447618
267,29.859070702358416,1.5430851864606598,270758.5,822554788.7018588,-565294000.1241981,597527467.0171595
268,29.870686172682507,1.542595101256698,269080.5,798829692.0542535,-532033565.11311424,595876801.4451671
269,29.88108810499363,1.5420977958254705,266499.5,782320618.408353,-516119099.2543572,587917192.6144862
270,29.889653985261415,1.5415593029886485,263263.0,792767150.345976,-512719344.4782138,604647524.1539571
271,29.896418765148592,1.5410068199382752,261001.0,772653220.7457935,-491427941.71984905,596231144.4614753
272,29.90229316155179,1.5404469863399912,258738.5,762935081.912487,-480832912.5468868,592342510.229083
273,29.904614527329255,1.5398178272212888,255587.0,772273284.7081671,-467391498.4778322,614777368.9918882
274,29.90734812827841,1.5391946076108174,251989.5,773424956.090206,-470020855.88862777,614220284.3710544
275,29.908497289131027,1.5385792398989333,248529.5,733235847.4860947,-437835234.84725523,588162490.4436702
