反復回数,∂J/∂θ,∂J/∂s,目的関数J
251,-49016426.74285811,-1215431608.3252902,795861.5
252,-41248271.233876824,-1216754132.6407123,796242.0
253,-41533985.059191346,-1215887016.4084902,797599.5
254,-34845162.78231835,-1207658389.8226678,797108.0
255,-24066770.490709186,-1212711894.8871098,797594.0
256,-9874050.944964588,-1223356040.352833,799003.0
257,2013788.2422280908,-1244998281.4526813,798154.5
258,4765812.322972298,-1237646770.935163,799351.5
259,14517455.90956068,-1245311405.9974883,799754.5
260,11792428.201524436,-1248223602.3692684,798955.5
261,9974300.232547104,-1252196159.4626248,797530.0
262,33313740.071685314,-1244657838.4262059,798335.5
263,30283925.61685413,-1237624013.8238194,800260.5
264,35493736.93457812,-1243013710.7168233,800410.0
265,30234849.04550284,-1238238819.7460153,798299.5
266,37464041.59624803,-1239533864.6867232,797248.0
267,35063673.33368957,-1235503545.8196404,798705.5
268,45063312.60480052,-1231871854.0560167,799914.5
269,58641745.48354924,-1231435014.3439991,801763.0
270,47928564.72395772,-1233153435.1299682,801255.0
271,47687990.526188016,-1219917757.8904984,802464.5
272,72934268.7627917,-1239157468.0571017,801116.0
273,67436245.43681103,-1226376108.3129525,799863.5
274,49648243.17587018,-1198854522.3081505,800434.0
275,52400508.89738172,-1193661806.9974718,799349.5
276,42959117.00266087,-1159821780.401569,796954.5
277,19697094.442021668,-1142221447.8653698,795698.0
278,22604443.296013653,-1119661043.2554615,796373.0
279,17540545.445199132,-1081770393.0319893,796103.0
280,17416579.80515808,-1053815298.0033575,795532.5
281,5299630.388229489,-1019362246.7397587,796039.5
282,6062313.994725466,-1012795986.995281,796299.5
283,-3505850.0746457577,-1000570601.0829307,797325.0
284,-12695787.174964428,-972280163.4949533,796220.5
285,-15714928.668110847,-968630554.9587224,795902.0
286,-13795990.193995178,-961657690.2471038,796893.5
287,-22128372.70416826,-953866109.7553803,798131.0
288,-22522771.422916055,-944802370.6268518,798137.0
289,-29538657.179973125,-937588372.521055,796600.5
290,-43388506.90417445,-914408070.4441497,794086.5
291,-50053207.008726954,-909576776.8711779,795968.5
292,-49947354.09670508,-907347414.5198957,794557.5
293,-81525948.0890739,-880697476.6716683,794534.5
294,-101568313.82306045,-867538705.2945627,792251.0
295,-81107075.62066454,-873541255.0898352,792413.5
296,-91483274.12108958,-853843248.7871518,793142.5
297,-91413930.13048214,-858036096.2002459,792391.5
298,-81743237.47513753,-854703903.7956374,791664.5
299,-97472105.02430737,-851156707.6869729,791810.5
300,-68957690.57271099,-885461957.277873,793044.0
301,-74184652.17827511,-878403454.638798,793598.0
302,-78282102.2732842,-866191529.4714209,793080.5
303,-57536952.85020667,-871056795.4195213,792573.5
304,-37706098.23800254,-887227989.152201,791293.0
305,-46952727.94450182,-869710192.6556756,789964.0
306,-52512132.37801057,-868116868.6290753,789957.5
307,-33197374.91627735,-877101914.099738,790835.5
308,-30038916.56132233,-872409678.3234662,790837.0
309,-37119912.354361475,-873073534.0404466,789078.0
310,-37835959.32364893,-867825675.1361544,789345.5
311,-52590602.06892723,-842559445.6980749,789003.0
312,-38304081.970490456,-842175694.8134866,790477.5
313,-43514120.30436283,-837680129.7563059,790878.5
314,-34979162.91487807,-821397763.6355829,790364.0
315,-22094356.31651014,-812351832.031328,791582.5
316,-23253558.09624809,-804231539.9639696,789255.5
317,-22213956.320903897,-812015319.9127737,790245.0
318,557164.7692763805,-809354782.5979359,790750.0
319,-576429.4020456672,-807541726.9246918,789485.5
320,7733271.467419386,-808452408.101415,790219.0
321,11600021.065487742,-803394686.9507003,790099.0
322,17725412.342023015,-805645435.1109565,791547.5
323,3385554.5440363884,-800183713.3925189,792795.0
324,1162088.8552498817,-786834436.909345,794567.5
325,-5072673.2641415,-774762973.4232785,794097.5
326,-1178714.5279012918,-776251992.7402489,794859.5
327,-15301155.212023258,-760346723.0299828,796113.5
328,-9435670.874607265,-755488677.1208773,797180.0
329,-5308281.89696002,-763794663.3761988,798031.5
330,394646.7612465024,-770532934.2891132,799432.0
331,-3240730.4397937655,-770741403.6093954,800094.5
332,-1843318.0261706114,-764841608.6567993,799384.0
333,733076.7631936073,-781924984.7626184,801849.0
334,835920.4163541794,-797761197.5622722,802035.5
335,5484447.182879865,-793967569.8695143,803848.0
336,11690595.000032783,-795133578.0923799,802080.0
337,10942696.299670637,-797504845.4772472,801720.0
338,28873647.51321298,-802706733.2613208,802839.5
339,29316401.864894867,-807148914.850951,804680.0
340,43690897.61670548,-812032661.3905802,804066.0
341,43296674.71082723,-809515291.4641955,804741.5
342,45001736.8483184,-805438363.434887,804463.5
343,41600482.045663774,-794625600.8913617,803474.0
344,39197093.13963878,-784820339.292782,804039.0
345,60654392.51808685,-813391658.2423619,805700.0
346,79932935.6788997,-821018090.664926,806183.5
347,104426435.771487,-832574904.395258,808205.0
348,101432498.91207469,-831106129.9510971,809807.0
349,104415286.59640628,-829884210.7610734,808893.5
350,117656027.32097244,-828579543.4567261,810596.0
351,120517002.32024103,-829090238.339711,809738.5
352,134232916.86813766,-824791021.589257,810560.5
353,145838608.81564248,-830556140.443479,811142.0
354,128669523.84682965,-825460010.1367865,811313.5
355,142636085.84126097,-820195873.6889104,812386.0
356,142710039.1284101,-820934740.07815,812902.5
357,157245613.76828432,-802334475.0504208,813172.0
358,158858046.70569283,-805128470.6367644,811756.5
359,180925895.12768912,-817017966.7472609,813289.0
360,193756309.2676558,-815217493.9317197,812439.0
361,195857740.04932606,-802727323.5042744,814619.0
362,195547013.35148895,-798178443.594566,815692.5
363,200574106.00454676,-797397256.3927459,815993.5
364,187188930.42335707,-799662807.9232357,816017.5
365,204402861.08985025,-803832891.5090171,813850.0
366,200159752.30354625,-810538063.8556389,815425.0
367,216564665.8377396,-809524106.6377496,814779.0
368,222579685.90164196,-807288495.7262356,815869.0
369,219934503.02601582,-813995514.8648788,815768.5
370,220812456.43325162,-818175760.5904646,816377.0
371,216691518.9681492,-817726938.416405,816687.5
372,229266970.37101573,-815158672.5600892,817864.5
373,207732615.29880464,-793111144.2075951,817296.5
374,212193606.1952842,-790221777.8450681,817152.5
375,215436575.3887456,-790757383.8405653,817484.0
376,227003225.56035483,-804064161.348071,818161.0
377,227772121.8558678,-802484839.3550389,819261.5
378,225786335.6068051,-796514797.8122637,820163.5
379,232617780.66297323,-791254148.4928184,820355.5
380,235594633.19783837,-792859859.5154265,821432.5
381,255108223.83913267,-799186677.6984758,821274.5
382,235679176.6876663,-791815634.8041008,822991.5
383,226480570.5590595,-779259970.6127241,822944.0
384,241991351.3022331,-779559461.778083,824398.0
385,240111451.72381353,-777752566.4044812,825655.5
386,230510320.02639794,-780829142.5814881,826170.5
387,193817264.17880416,-766851528.8364607,826716.0
388,193887336.9725765,-769006795.8480711,825599.5
389,223027615.29182374,-765081511.0844101,825950.5
390,230238497.97534186,-768382014.3455101,828115.0
391,247939958.47005534,-768194510.7446996,828363.5
392,246039216.06089538,-770411304.708512,826584.0
393,251697635.42356443,-760581591.5520624,827051.0
394,254509694.5329951,-761797203.7801454,826663.5
395,254585782.4356829,-766509405.3519781,824845.0
396,271332670.2287326,-764858073.5466541,825041.0
397,274553391.3813735,-760715455.9007418,825920.0
398,278120386.05974585,-754651177.8439919,826319.5
399,289193674.83043194,-741288181.451087,828249.0
400,285634536.5068414,-744963504.2488081,827317.0
401,276848740.54323167,-738271534.3507519,827188.0
402,277249738.6804757,-732325979.9139144,827834.0
403,293274072.9644351,-728439870.7050562,829193.0
404,302346745.62699497,-729558492.9808589,828773.5
405,312694495.5639678,-714426959.103632,828998.0
406,319793002.854212,-709454046.3878633,828310.5
407,330148248.55457664,-705268905.2256138,829171.0
408,329957204.33080316,-708148042.7739688,829463.5
409,318611450.4563117,-710055355.3267541,829061.5
410,329342285.15431607,-707801388.2445793,828714.0
411,360482020.8322157,-728219712.1675758,828872.5
412,353481919.81644255,-729616709.0884855,830457.0
413,350327106.3128575,-731437905.2138383,830953.0
414,358879405.8881172,-727130962.0505159,829953.5
415,364271411.40387106,-725291135.7496483,829419.5
416,354626322.8050041,-719489849.9199317,828813.5
417,351439592.006005,-719368489.1103163,828752.5
418,366641597.06353533,-712369114.519397,828102.5
419,368754923.9642166,-716068628.724979,827809.0
420,387688597.74992764,-713001648.3051724,829524.0
421,394242139.8562449,-729022845.5613651,828742.5
422,386817236.6577507,-731786769.727815,828594.0
423,390292614.3477201,-726942979.1765567,829930.0
424,362929899.70213014,-716792984.0940089,830097.5
425,354505205.5001009,-706684766.5467832,830848.0
426,363673290.5415991,-704741829.3301997,830702.5
427,375139157.01761293,-697329422.6517339,831552.0
428,388832923.7818588,-697339591.0219401,832109.0
429,396597009.7907295,-701666743.4748735,832172.5
430,401206063.0842211,-697911137.4890163,831063.5
431,402392104.08508074,-700144109.7636448,830756.5
432,402066851.8209894,-697878961.4783927,831984.5
433,387773031.4976359,-688678832.4977573,830885.5
434,392550781.10417795,-685741615.3334823,831783.5
435,404044105.4623716,-689666956.135112,832910.0
436,406114780.6790879,-699861479.5435162,832191.0
437,400267619.09470606,-702541700.547128,833103.5
438,397484169.0042319,-701663580.3337123,834742.5
439,383772580.29615474,-695691563.5224847,833925.5
440,391113526.6116782,-695858244.0127865,834472.5
441,403140573.7566354,-695275063.922651,833792.5
442,403019745.39475507,-693018069.1878434,834109.5
443,405524048.3023176,-691797118.3644787,834212.0
444,404308176.17868006,-687792457.2526659,834244.0
445,405124802.34710485,-689439488.1729536,834393.0
446,412511140.30092466,-687989538.5872979,834437.5
447,418876938.7437919,-686524653.9835963,835014.5
448,414221747.3561411,-691856869.7562702,834450.5
449,419880780.5217869,-697636599.0834585,833262.0
450,424659942.9187654,-697388673.8099632,833527.0
451,412738691.8076986,-696632297.3798842,834627.0
